1,2,0.1
2,3,0.09999999999999996
3,4,0.09999999999999998
2,5,0.09999999999999999
5,6,0.1
6,7,0.03011074736933457
6,8,0.1
3,9,0.01620746774155011
8,10,0.10000000000000003
10,11,0.10000000000000002
11,12,0.10000000000000002
10,13,0.10000000000000002
12,14,0.1
9,15,0.03631685609517814
10,16,0.06463418685404144
13,17,0.1
17,18,0.10000000000000002
18,19,0.09999999999999999
17,20,0.032493510857281784
19,21,0.1
20,22,0.10000000000000003
14,23,0.1
21,24,0.1
23,25,0.019638170253954496
25,26,0.10000000000000003
23,27,0.1
22,28,0.10000000000000003
5,29,0.051190670244446616
24,30,0.09999999999999998
14,31,0.03574564816298476
6,32,0.03951210391126959
11,33,0.09612027765893731
27,34,0.03691072666049003
22,35,0.06344059174239944
30,36,0.1
30,37,0.05808147101617687
24,38,0.03373104608657005
28,39,0.10000000000000005
36,40,0.10000000000000002
26,41,0.10000000000000002
23,42,0.1
30,43,0.050279805451919755
34,44,0.09999999999999999
28,45,0.09999999999999999
29,46,0.04989891770551765
40,47,0.1
7,48,0.028284091989282233
44,49,0.09999999999999998
47,50,0.09999999999999998
19,51,0.08803833605792746
31,52,0.032082319295726844
28,53,0.03877411127528711
50,54,0.1
37,55,0.10000000000000003
42,56,0.1
45,57,0.05260815008700688
17,58,0.0037776935561677394
41,59,0.08900321739251445
7,60,0.04787618696796083
49,61,0.09999999999999998
55,62,0.035163405181421116
49,63,0.06646113694017439
42,64,0.055235884864638526
54,65,0.10000000000000002
65,66,0.10000000000000002
39,67,0.1
36,68,0.1
66,69,0.10000000000000002
69,70,0.0072679107171271
